,line_id,name,shortName,mode,networkId,impactedObjects,file_lastUpdatedDate
67,line:IDFM:C00947,Express 62,62EX,Bus,network:IDFM:1056,"[{'disruptionIds': ['67565b88-b247-11ef-ab9b-0a58a9feac02', 'e8e214de-acd5-11ef-a448-0a58a9feac02'], 'id': 'line:IDFM:C00947', 'name': 'Express 62', 'type': 'line'}]",2024-12-06T13:50:22.638Z
68,line:IDFM:C00960,Express 67,67EX,Bus,network:IDFM:1056,"[{'disruptionIds': ['67565b88-b247-11ef-ab9b-0a58a9feac02', 'e8e214de-acd5-11ef-a448-0a58a9feac02'], 'id': 'line:IDFM:C00960', 'name': 'Express 67', 'type': 'line'}]",2024-12-06T13:50:22.638Z
69,line:IDFM:C02291,TàD 43,TàD,Bus,network:IDFM:1056,"[{'disruptionIds': ['e8e214de-acd5-11ef-a448-0a58a9feac02'], 'id': 'line:IDFM:C02291', 'name': 'TàD 43', 'type': 'line'}]",2024-12-06T13:50:22.638Z
70,line:IDFM:C00054,2,2,Bus,network:IDFM:1081,"[{'disruptionIds': ['4d6f9604-b913-11ee-a6d1-0a58a9feac02'], 'id': 'line:IDFM:C00054', 'name': '2', 'type': 'line'}]",2024-12-06T13:50:22.638Z
71,line:IDFM:C00409,12,12,Bus,network:IDFM:1081,"[{'disruptionIds': ['559793b8-ae63-11ef-a448-0a58a9feac02'], 'id': 'line:IDFM:C00409', 'name': '12', 'type': 'line'}]",2024-12-06T13:50:22.638Z
72,line:IDFM:C01951,12,12,Bus,network:IDFM:1081,"[{'disruptionIds': ['559793b8-ae63-11ef-a448-0a58a9feac02', 'e80720da-abeb-11ef-b233-0a58a9feac02'], 'id': 'line:IDFM:C01951', 'name': '12', 'type': 'line'}, {'disruptionIds': ['5736d682-ab13-11ef-ab9b-0a58a9feac02'], 'id': 'stop_point:IDFM:4389', 'name': 'Les Fontaines', 'type': 'stop_point'}]",2024-12-06T13:50:22.638Z
73,line:IDFM:C00172,15,15,Bus,network:IDFM:1081,"[{'disruptionIds': ['31c2d100-a8be-11ef-a448-0a58a9feac02', '6e5cc46e-a7e1-11ef-845d-0a58a9feac02'], 'id': 'line:IDFM:C00172', 'name': '15', 'type': 'line'}]",2024-12-06T13:50:22.638Z
74,line:IDFM:C01957,16,16,Bus,network:IDFM:1081,"[{'disruptionIds': ['31c2d100-a8be-11ef-a448-0a58a9feac02', '8e97c468-a71e-11ef-845d-0a58a9feac02'], 'id': 'line:IDFM:C01957', 'name': '16', 'type': 'line'}]",2024-12-06T13:50:22.638Z
75,line:IDFM:C00175,20,20,Bus,network:IDFM:1081,"[{'disruptionIds': ['74fdaad4-f712-11ee-bdfc-0a58a9feac02'], 'id': 'line:IDFM:C00175', 'name': '20', 'type': 'line'}]",2024-12-06T13:50:22.638Z
76,line:IDFM:C00187,23,23,Bus,network:IDFM:1081,"[{'disruptionIds': ['cb822f50-b18a-11ef-a448-0a58a9feac02'], 'id': 'line:IDFM:C00187', 'name': '23', 'type': 'line'}]",2024-12-06T13:50:22.638Z
